,code,type,name,group,market
378,711963,上櫃認購(售)權證,緯軟國票01購01,,上櫃
379,711964,上櫃認購(售)權證,穩懋國票01購04,,上櫃
380,711965,上櫃認購(售)權證,鈺太國票01購01,,上櫃
381,711967,上櫃認購(售)權證,M31元富03購01,,上櫃
382,711970,上櫃認購(售)權證,精測元富03購01,,上櫃
383,711972,上櫃認購(售)權證,雙鴻兆豐01購02,,上櫃
384,711974,上櫃認購(售)權證,宇峻群益01購01,,上櫃
385,711977,上櫃認購(售)權證,威剛群益02購01,,上櫃
386,711978,上櫃認購(售)權證,雙美群益01購01,,上櫃
387,711984,上櫃認購(售)權證,東洋元大01購01,,上櫃
388,711985,上櫃認購(售)權證,原相元大02購02,,上櫃
389,711987,上櫃認購(售)權證,精測元大01購02,,上櫃
390,711990,上櫃認購(售)權證,雙鴻元大01購03,,上櫃
391,711991,上櫃認購(售)權證,穩懋元大01購02,,上櫃
392,711992,上櫃認購(售)權證,譜瑞元大01購03,,上櫃
393,711993,上櫃認購(售)權證,鈊象元大01購02,,上櫃
394,712001,上櫃認購(售)權證,弘塑國票01購01,,上櫃
395,712002,上櫃認購(售)權證,信驊國票01購02,,上櫃
396,712003,上櫃認購(售)權證,原相國票01購01,,上櫃
397,712004,上櫃認購(售)權證,優群國票01購01,,上櫃
398,712005,上櫃認購(售)權證,譜瑞國票01購01,,上櫃
399,712007,上櫃認購(售)權證,信驊元富03購02,,上櫃
400,712009,上櫃認購(售)權證,大江兆豐01購01,,上櫃
401,712010,上櫃認購(售)權證,原相兆豐01購02,,上櫃
402,712011,上櫃認購(售)權證,博智兆豐01購01,,上櫃
403,712012,上櫃認購(售)權證,凡甲麥證01購01,,上櫃
404,712013,上櫃認購(售)權證,力旺統一01購02,,上櫃
405,712014,上櫃認購(售)權證,元太統一02購01,,上櫃
406,712015,上櫃認購(售)權證,信驊統一02購02,,上櫃
407,712016,上櫃認購(售)權證,威剛統一01購03,,上櫃
408,712017,上櫃認購(售)權證,胡連統一02購01,,上櫃
409,712018,上櫃認購(售)權證,原相統一02購01,,上櫃
410,712019,上櫃認購(售)權證,神盾統一01購01,,上櫃
411,712020,上櫃認購(售)權證,穩懋統一02購02,,上櫃
412,712021,上櫃認購(售)權證,譜瑞統一02購03,,上櫃
413,712025,上櫃認購(售)權證,網家凱基02購02,,上櫃
414,712026,上櫃認購(售)權證,鈊象凱基02購02,,上櫃
415,712039,上櫃認購(售)權證,太醫凱基02購01,,上櫃
416,712040,上櫃認購(售)權證,東洋凱基02購01,,上櫃
417,712045,上櫃認購(售)權證,譜瑞統一02購04,,上櫃
418,712046,上櫃認購(售)權證,威剛群益01購03,,上櫃
419,712047,上櫃認購(售)權證,鈊象群益01購01,,上櫃
420,712051,上櫃認購(售)權證,元太國票01購01,,上櫃
421,712052,上櫃認購(售)權證,世界國票01購01,,上櫃
422,712053,上櫃認購(售)權證,台燿國票01購01,,上櫃
423,712054,上櫃認購(售)權證,宜鼎國票01購01,,上櫃
